"direccion_completo","calle_colonia","cp","tipo","delegacion","ciudad","precio","ID","lon","lat","descripcion","caracteristicas","amenidades","inf_colonia","fila1","fila2","moneda","RECAMARAS","BANOS","ESTACIONAMIENTOS","No_de_pisos","Edad_inmueble","AREA_TERRENO","AREA_CONSTRUIDA","Tamano_jardin","Jardin","NA","Cisterna","Gas Natural","Seguridad privada","Zona privada","Alberca","Telefonía","Mascotas","Lavandería","Gimnasio","Terraza","Cuarto de servicio","Calefacción","Chimenea","CUENTA CATASTRAL 35425130 ","USO DE SUELO Habitacional. ","SUPERFICIE DE TERRENO 962.0 m²","ÁREA CONSTRUIDA 577 m²","Sótano","CUENTA CATASTRAL 03829833 ","USO DE SUELO Habitacional con Comercio  ","SUPERFICIE DE TERRENO 138.0 m²","ÁREA CONSTRUIDA 330 m²","CUENTA CATASTRAL 03533508 ","SUPERFICIE DE TERRENO 9931.0 m²","CUENTA CATASTRAL 04112001 ","USO DE SUELO Habitacional ","SUPERFICIE DE TERRENO 172.0 m²","ÁREA CONSTRUIDA 413 m²","Amueblado","CUENTA CATASTRAL 02535601 ","SUPERFICIE DE TERRENO 164.0 m²","ÁREA CONSTRUIDA 393 m²","Elevador","CUENTA CATASTRAL 06161507 ","USO DE SUELO Habitacional Mixto. ","SUPERFICIE DE TERRENO 10470.0 m²","ÁREA CONSTRUIDA 29315 m²","Aire acondicionado","CUENTA CATASTRAL 32516917 ","SUPERFICIE DE TERRENO 617.0 m²","ÁREA CONSTRUIDA 1974 m²","CUENTA CATASTRAL 02920403 ","SUPERFICIE DE TERRENO 1982.0 m²","CUENTA CATASTRAL 03203402 ","SUPERFICIE DE TERRENO 199.0 m²","ÁREA CONSTRUIDA 418 m²","CUENTA CATASTRAL 03917405 ","USO DE SUELO Centro de Barrio ","SUPERFICIE DE TERRENO 719.0 m²","ÁREA CONSTRUIDA 1725 m²","CUENTA CATASTRAL 00808712 ","USO DE SUELO Habitacional con Comercio en P. B. ","SUPERFICIE DE TERRENO 128.0 m²","ÁREA CONSTRUIDA 409 m²","Circuito Cerrado de TV","Planta de emergencia","Fibra óptica","Vigilancia","Tiene oficina","CUENTA CATASTRAL 02801738 ","SUPERFICIE DE TERRENO 61.0 m²","ÁREA CONSTRUIDA 127 m²","CUENTA CATASTRAL 02919002 ","SUPERFICIE DE TERRENO 402.0 m²","Urbanizado","zona","Precio m2"
"José Maria Castorena, Colonia El Molino, C.P. 05240 ","José Maria Castorena","05240","Casa","Cuajimalpa de Morelos","DF / CDMX","13,800,000 ","28651824","-99.2851887","19.3640219","Preciosa casa en condominio a minutos de vistahermosa y santa fe, en madeira, conjunto residencial muy bonito, seguro, y súper ubicado. no se encuentra en el pueblito. estilo mexicano contemporáneo, techos a dos aguas con tejas de barro y techos de madera, dentro de un fraccionamiento perfectamente mantenido y controlado. el fraccionamiento tiene un gran jardín con juegos infantiles para el uso común. el acceso de la calle a la casa tiene dos filtros de seguridad controlados 24 horas y con cctv 4 recámaras con walk in closet 3 baños y medio amplia cocina ante comedor comedor sala living room cuarto servicio , lavado jardín muy linda vista 2 estacionamientos jardín con juegos en el área común próximamente cancha de paddle.  id: eb-rh0849","RECÁMARAS4 , BAÑOS3 , ESTACIONAMIENTOS2 , Edad del inmueble24 años, ÁREA TERRENO231 m2, ÁREA CONSTRUIDA270 m2, Jardín1 , NA, NA","Cuarto de servicio, Seguridad privada, NA, NA, NA","NA, NA","NA","NA","MXN","4","3","2",NA,"24","231","270",NA,"1",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"LA QUEMADA  #361, Colonia Narvarte Oriente, C.P. 03023 ","LA QUEMADA  #361","03023","Casa","Benito Juárez","DF / CDMX","9,470,000 ","26098929","-99.1393556","19.3711152","Esta es una opción única. 
casa acogedora y bien ubicada en narvarte oriente. 
excelente conservación y actualización general. 
terreno de 210 m2. 
y 235 m2 construidos, esta casa llena de luz le ofrece: 
un espacio principal con sala, comedor, la cocina integral y baño de visitas en primer piso.
2 habitaciones, 1 estudio y un baño completo y terraza en 2° piso.
en el espacio posterior del patio se encuentran 4 habitaciones más al rededor de la fuente, con 3 baños completos y
área de lavado. 
ideal para usted que busca espacios independientes, útiles o productivos en un entorno tranquilo, seguro y  acogedor.
2 lugares de estacionamiento (1 techado) 
excelente ubicación con todos los servicios cercanos 
agiles vías de comunicación (eugenia, vertiz narvarte, cumbres de maltrata, universidad)
si desea mayor información estoy a sus órdenes

atentamente
ldi jairo r. ramírez morales","RECÁMARAS6 , BAÑOS4 , ESTACIONAMIENTOS2 , No. de pisos2 , Edad del inmueble40 años, ÁREA TERRENO210 m2, ÁREA CONSTRUIDA235 m2, NA, NA","Cisterna, Terraza, Cuarto de servicio, NA, NA","Precio por/m2 promedio en Zona Narvarte, $ 26.93 mil MN","Inmobiliaria de Jairo Ramirez","Ramírez","MXN","6","4","2","2","40","210","235",NA,NA,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zona Narvarte","26.93"
"Ladera, Colonia Jardines del Pedregal de San Ángel, C.P. 04500 ","Ladera","04500","Casa","Coyoacán","DF / CDMX","38,000,000 ","28534989","-99.2017414000","19.3062052000","Ven y conoce esta enigmática casa. fraccionamiento jardines del pedregal triple altura , vestíbulo , sala , comedor , medio baño, biblioteca, patio interior con jacuzzi , cocina integral con una gran alacena bajando unas escaleras encuentras los dos cuartos de servicio con área de lavado , ante comedor con ventanal . sala de tv , dos recamaras . una de las recámaras cuenta con dos niveles , vestidor ,closet, estudio. la segunda con baño completo y vestidor. en el siguiente nivel encontramos una tercera recámara con vestidor amplio y baño completo con tina . la casa cuenta con elevador a donde llegas a una recámara que parece departamento con estudio, baño completo, tina , con doble vestidor, escaleras de mármol , pasillo de onix que te lleva al área de spa, regadera de presión, área de masajes , sauna , vapor , gym , terraza techada . recámaras para visitas con baño completo family room otro estudio . caseta de vigilancia con medio baño garage donde caben 3 camionetas . sótano . ven y conoce esta espectacular casa . precio abajo de su avalúo . no incluye muebles. solo los que están empotrados .  id: eb-rb5469","RECÁMARAS5 , BAÑOS4 , Edad del inmuebleNuevo , ÁREA TERRENO882 m2, ÁREA CONSTRUIDA560 m2, Jardín1 , NA, NA, NA","Terraza, Cuarto de servicio, Seguridad privada, NA, NA","Precio por/m2 promedio en Zona San Ángel, $ 46.79 mil MN","Corte & asociados","Mónica ","MXN","5","4",NA,NA,NA,"882","560",NA,"1",1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zona San Ángel","46.79"
" , Colonia Lindavista Norte, C.P. 07300 "," ","07300","Casa","Gustavo A. Madero","DF / CDMX","15,789,000 ","28625645","-99.1242360000","19.4902084000","Casa para remodelar. casa principal en 2 niveles cuenta con 5 recamaras y 3 baños: 2 recamaras con baño completo 3 recamaras 1 baño completo 1 medio baño estudio garaje cocina patio amplio jardín terraza bodega cuarto de lavado en la parte posterior cuenta con 9 cuartos y 6 baños en total: características · garaje · jardín · terraza · bodega · cocina · cuarto de servicio · estudio · mascotas permitidascasa 1: 2 pisos con 2 cuartos y 2 baños. (sin cocina) casa 2: 1 piso con 2 cuartos y 2 baños. (sin cocina) casa 3: 2 pisos con 5 cuartos y 2 baños. (sin cocina) actualmente se utilizan para renta a estudiantes o profesionistas. terreno: 601 m2 construcción: 519 m2¡contactanos!","RECÁMARAS12 , BAÑOS8 , ESTACIONAMIENTOS3 , Edad del inmuebleNuevo , ÁREA TERRENO601 m2, ÁREA CONSTRUIDA519 m2, NA, NA, NA","NA, NA, NA, NA, NA","Precio por/m2 promedio en Zona Lindavista$ 22.95 mil MN, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA","NA","NA","MXN","12","8","3",NA,NA,"601","519",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zona Lindavista$ 22.95 mil MN","22.95, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA"
"Lomas Altas, Colonia Lomas Altas, C.P. 11950 ","Lomas Altas","11950","Casa","Miguel Hidalgo","DF / CDMX","53,000,000 ","28631858","-99.2279876000","19.4005953000","Extraordinaria casa en lomas altas , amplio jardín con pérgola, recibidor , sala de estar , y gran estancia con hermosa vista , comedor con ventanales y vista panorámica, bar salón de juegos , terraza con vista arbolada. cocina , antecomedor con vista al jardín y medio baño. family room , 4 recamaras todas con closet , estudio. tres baños completos y medio baño. area de lavado, cuarto de servicio, 2 bodegas. estacionamiento para 4 autos.  id: eb-rg0248","RECÁMARAS4 , BAÑOS3 , ESTACIONAMIENTOS4 , Edad del inmuebleNuevo , ÁREA TERRENO1564 m2, ÁREA CONSTRUIDA448 m2, NA, NA, NA","CUENTA CATASTRAL 03533508 , SUPERFICIE DE TERRENO 9931.0 m², NA, NA, NA","NA, NA","Capital & Co Property","Capital&Coproperty","MXN","4","3","4",NA,NA,"1564","448",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"MIGUEL LERDO DE TEJADA #268, Colonia Guadalupe Inn, C.P. 01020 ","MIGUEL LERDO DE TEJADA #268","01020","Casa","Álvaro Obregón","DF / CDMX","22,500,000 ","28722938","-99.1861500000","19.3535560000","Ref: nex-205944 te presentamos esta espectacular casa en venta ubicada en guadalupe inn, álvaro obregón, ciudad de méxico. con una construcción de 750 m2, esta propiedad cuenta con 7 recamaras, 4 baños completos, 1 medio baño y todo lo que necesitas para vivir con lujo y comodidad. en esta impresionante casa podrás disfrutar de una amplia gama de amenidades, como chimenea, jacuzzi, asador, estacionamiento para visitas, bodega(s), estudio, área de lavandería, jardín, cuarto de huéspedes, cuarto de servicio, sala de estar, cocina equipada, walk in closet, sala y comedor, piso de cerámica y hasta un gimnasio para mantenerte en forma sin salir de casa. ubicada en una zona residencial tranquila y segura, esta propiedad ofrece cercanía a diversas zonas de interés, como el centro comercial santa fe, el parque la mexicana y el teatro helénico. además, cuenta con fácil acceso a avenidas principales como periférico sur y avenida revolución, así como a estaciones de metro y metrobús cercanas. no dejes pasar la oportunidad de adquirir esta exclusiva propiedad que lo tiene todo. ¡contáctanos para más información y agenda tu visita!","RECÁMARAS7 , BAÑOS4 , ESTACIONAMIENTOS6 , Edad del inmuebleNuevo , ÁREA TERRENO450 m2, ÁREA CONSTRUIDA750 m2, NA, NA, NA","NA, NA, NA, NA, NA","Precio por/m2 promedio en Guadalupe Inn$ 35.56 mil MN, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA","NA","NA","MXN","7","4","6",NA,NA,"450","750",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Guadalupe Inn$ 35.56 mil MN","35.56, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA"
"Miguel Ocaranza #133, Colonia Merced Gómez, C.P. 01600 ","Miguel Ocaranza #133","01600","Casa","Álvaro Obregón","DF / CDMX","11,000,000 ","26203996","-99.1933664","19.3663017","Terreno intermedio con un solo frente, de forma regular en donde se desplanta una casa habitación, desarrollada en dos niveles, con las siguientes áreas: planta baja. local comercial, acceso, estacionamiento para 4 autos, área para guardado, cuarto, patio de servicio, estancia, comedor, cocina, área de escalera y recámara con baño. planta alta. - vestíbulo, sala de t., baño y dos recámaras, cuenta con dos cuartos de guardado en azotea.","RECÁMARAS2 , BAÑOS1 , No. de pisos2 , Edad del inmueble50 años, ÁREA TERRENO224 m2, ÁREA CONSTRUIDA243 m2, NA, NA, NA","Zona privada, Telefonía, Mascotas, Terraza, Lavandería","Precio por/m2 promedio en Merced Gómez, $ 30.44 mil MN","JUAN MANUEL","MORA GUZMAN","MXN","2","1",NA,"2","50","224","243",NA,NA,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merced Gómez","30.44"
"Montaña 400, Colonia Jardines del Pedregal de San Ángel, C.P. 04500 ","Montaña 400","04500","Casa","Coyoacán","DF / CDMX","20,500,000 ","28662554","-99.1968277","19.3079512","La propiedad en venta se ubica en la exclusiva zona de jardines del pedregal de san ángel, en ciudad de méxico.  el inmueble se encuentra en condiciones para remodelar, en calle cerrada, brindando la oportunidad de personalizar cada detalle a gusto del comprador. entre sus servicios se destacan una alberca, jardín privado y terraza con hermosa vista a la ciudad, ideales para disfrutar de momentos de relajación y entretenimiento. la propiedad goza de una ubicación privilegiada, cercana de avenidas principales y con fácil acceso a servicios, escuelas y comercios. una excelente oportunidad para adquirir una vivienda de lujo en una de las zonas más prestigiosas de la ciudad de méxico.","RECÁMARAS3 , BAÑOS5 , ESTACIONAMIENTOS4 , No. de pisos1 , Edad del inmueble41 años, ÁREA TERRENO955 m2, ÁREA CONSTRUIDA955 m2, NA, NA","Alberca, Terraza, NA, NA, NA","Precio por/m2 promedio en Zona San Ángel, $ 46.79 mil MN","NA","NA","MXN","3","5","4","1","41","955","955",NA,NA,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zona San Ángel","46.79"
"Naranjos 16 #16, Colonia San Jerónimo Aculco, C.P. 10400 ","Naranjos 16 #16","10400","Casa","La Magdalena Contreras","DF / CDMX","8,250,000 ","27427313","-99.2282531","19.3187812","Casa sola en venta en san jerónimo aculco, en desniveles, muy completa y cómoda,  ubicada, a 3 min. de periférico, 10 min. de plaza arts, perisur, itam y anahuac del sur, a 2 cuadras de la súper vía poniente, con todos los servicios. 
excelente casa con grandes espacios y excelente iluminación, única en la zona.
planta baja: sala y comedor con chimenea, cocina equipada horno eléctrico, cuarto alacena, desayunador, family room, medio baño, bodega, sótano con bar, 3 cajones de estacionamiento con portón eléctrico, amplio jardín con asador, cuarto de lavandería, cuarto de servicio con baño completo.
planta alta: 4 recamaras, 3 con baño completo, la principal cuenta con 70 mt2, piso de madera, con amplio vestidor en madera de encino, baño completo con jacuzzi doble lavabo, cancel de cristal templado, sala de tv.

acabados: su estado de conservación es buen, pisos de cerámica español y azulejos italianos, pisos, escaleras, barandal y vestidor en madera de encino, ventanas aluminio, duranodik, enorme cisterna, sin problema de agua, hidroneumático, 2 calentadores de máxima capacidad, gas natural, seguridad con cerca electrificada, portón eléctrico, fachada en sillar.

aceptamos todos los créditos; si no cuentas con crédito hipotecario nosotros te lo tramitamos con la mejor tasa del mercado.
precio negociable.
previa cita.","RECÁMARAS4 , BAÑOS3 , ESTACIONAMIENTOS3 , No. de pisos2 , Edad del inmueble45 años, ÁREA TERRENO263.9 m2, ÁREA CONSTRUIDA400 m2, NA, NA","Cisterna, Chimenea, Zona privada, Telefonía, Mascotas","Precio por/m2 promedio en Zona San Jerónimo, $ 31.15 mil MN","Guadalupe","Bonilla","MXN","4","3","3","2","45","263","400",NA,NA,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zona San Jerónimo","31.15"
" , Colonia Narvarte Poniente, C.P. 03020 "," ","03020","Casa","Benito Juárez","DF / CDMX","6,200,000 ","28782484","-99.1404222327","19.3952624505","Bienvenido al mejor desarrollo en la zona:  lujo - seguridad - garantías - acabados - ubicación - exclusividad su distintivo estilo de ciudad y su cómoda localización; tu nuevo departamento!! es donde realmente puedes tenerlo todo. lugares que marcan tendencia, restaurantes galardonados y de clase mundial, eventos deportivos de élite y una escena social que siempre es vibrante y excitante.""es lo que mereces para tu estilo de vida.""características:casa en condominio!!3 recamaras baños completos estacionamientos garden privadoiluminación y ubicación inigualableáctanos para conocer tu nuevo hogará un placer atenderte!!z o n a h o g a r e s . c o mte ayudamos a tramitar cualquier crédito hipotecario ahora!!!tel: :  o n a h o g a r e s . c o mimágenes y textos son únicamente referencia. no deben interpretarse con fiel base de detalles finales en las residencias y desarrollo. el desarrollo se reserva el derecho de modificar y realizar cambios como juzgue correcto a su única y absoluta discreción. representaciones verbales no contarán como modelo representante del desarrollador.*ajuste de precios sin previo aviso*z o n a h o g a r e s . c o m","RECÁMARAS3 , BAÑOS2 , ESTACIONAMIENTOS2 , Edad del inmuebleNuevo , ÁREA TERRENO134 m2, ÁREA CONSTRUIDA134 m2, NA, NA, NA","NA, NA, NA, NA, NA","Precio por/m2 promedio en Zona Narvarte$ 26.93 mil MN, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA","zonahogares.com","+","MXN","3","2","2",NA,NA,"134","134",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zona Narvarte$ 26.93 mil MN","26.93, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA"
" , Colonia Olivar de los Padres, C.P. 01780 "," ","01780","Casa","Álvaro Obregón","DF / CDMX","6,600,000 ","28762827","-99.2057630000","19.3409349000","Date la oportunidad de entrar a esta hermosa casa en condominio de 200 m2, donde la elegancia de los pisos de madera fina te da la bienvenida en cada paso. en la planta baja, la amplitud de los espacios sociales, inundados de luz natural, te invita a disfrutar de momentos acogedores con amigos y familiares. desde la sala y el comedor, las grandes ventanas ofrecen vistas al espectacular jardín de 1000 m2, creando un ambiente sereno y conectado con la naturaleza. la cocina, bien equipada, es un espacio perfecto para inspirar tu creatividad culinaria. además, la conveniencia de tener una oficina en casa agrega versatilidad a tu estilo de vida. subiendo las escaleras, te esperan tres amplias habitaciones, cada una con su propio clóset, brindándote comodidad y organización. la habitación principal, con su baño completo, te ofrece un refugio tranquilo al final del día. con la seguridad las 24 horas y la proximidad a importantes vías como desierto de los leones, calzada de las aguilas, super via poniente y colegios de renombre como the edron academy, universidad anahuac del sur, esta casa combina comodidad y conveniencia en un solo lugar.","RECÁMARAS3 , BAÑOS2 , ESTACIONAMIENTOS2 , Edad del inmuebleNuevo , ÁREA TERRENO0 m2, ÁREA CONSTRUIDA203 m2, NA, NA, NA","NA, NA, NA, NA, NA","Precio por/m2 promedio en Olivar de los Padres$ 31.89 mil MN, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA","NA","NA","MXN","3","2","2",NA,NA,"0","203",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Olivar de los Padres$ 31.89 mil MN","31.89, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA"
"Oriente 100, Colonia Merced Balbuena, C.P. 15810 ","Oriente 100","15810","Casa","Venustiano Carranza","DF / CDMX","9,800,000 ","28661580","-99.1335827","19.4309551","Magnifico inmueble productivo de 139 m2 de terreno y 320m2 de construcción, cuenta con un local comercial en la planta baja, se encuentra distribuido en dos plantas, excelente para casa habitacional o para bodega. ideal parea surtir a tus clientes del centro historico con rapidez y agilidad! esta en el corazón de la merced balbuena.

en planta baja cuenta con cochera para 2 autos, un pequeño patio, 2 recamaras, un baño completo, una accesoria con medio baño, y una cocineta.

en primer piso sala y comedor muy espacioso, 4 recamaras, un bañleto.

en segundo piso una recamara con baño completo y cuarto de lavado.

esta propiedad cuenta con la facilidad para adecuarlo y utilizarse como una funcional y práctica bodega. la planta baja se puede habilitar para comercio al mayoreo o menudeo y poder brindar atencion directa a los clientes que acuden a la merced a surtir sus negocios.
 
¡aprovecha el 30% de descuento en el pago de impuestos y honorarios notariales! aplicable por jornada notarial durante todo el año.","RECÁMARAS7 , BAÑOS3 , ESTACIONAMIENTOS2 , No. de pisos1 , Edad del inmueble50 años, ÁREA TERRENO139 m2, ÁREA CONSTRUIDA320 m2, NA, NA","Mascotas, Lavandería, NA, NA, NA","Precio por/m2 promedio en Merced Balbuena, $ 26.49 mil MN","NA","NA","MXN","7","3","2","1","50","139","320",NA,NA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merced Balbuena","26.49"
"ORIZABA, Colonia San Jerónimo Aculco, C.P. 10400 ","ORIZABA","10400","Casa","La Magdalena Contreras","DF / CDMX","7,980,000 ","28792022","-99.2281333000","19.3177967000",". 270 m2 de construcción. . 229 m construidos. . nueva, recién remodelada . 3 recamaras con baño completo. . closets de pared a pared. . principal con vestidor y terraza con vista al jardín. . 3 baños. . medio baño para visitas. . hermoso salón con chimenea y ventanales de piso a techo, con salida al jardín. . enorme cocina integral con desayunador, y mesa central base alacena . closet de visitas . estacionamiento techado para 2 autos . portón eléctrico . patio trasero de tendido . calentador, lavadero . cuarto de servicio con baño . gas natural . cisterna3300 lts. . casa sola . calle amplia . vialidades importantes . muy comunicada . 15 min sta. fe . a 2 min. de luis cabrera y super vía . 5 min. artz, periférico . walmart express . plaza ofis tri max . centro comercial san jerónimo . $ 7’980,000.  id: eb-rm8228","RECÁMARAS3 , BAÑOS3 , ESTACIONAMIENTOS2 , Edad del inmuebleNuevo , ÁREA TERRENO229 m2, ÁREA CONSTRUIDA270 m2, Jardín1 , NA, NA","Terraza, Cuarto de servicio, NA, NA, NA","NA, NA","Inmobiliaria de VERONICA RUANOVA","INRUABE asesores ","MXN","3","3","2",NA,NA,"229","270",NA,"1",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"ORIZABA, Colonia San Jerónimo Aculco, C.P. 10400 ","ORIZABA","10400","Casa","La Magdalena Contreras","DF / CDMX","7,980,000 ","28792023","-99.2281333000","19.3177967000",". nueva estrene . 270 m2 de construcción. . 229 m construidos. . 3 recamaras con baño completo. . closets de pared a pared. . principal con vestidor y terraza con vista al jardín. . 3 baños. . medio baño para visitas. . hermoso salón con chimenea y ventanales de piso a techo, con salida al jardín. . enorme cocina integral con desayunador, y mesa central base alacena . closet de visitas . estacionamiento techado para 2 autos . portón eléctrico . patio trasero de tendido . calentador, lavadero . cuarto de servicio con baño . gas natural . cisterna3300 lts. . casa sola . calle amplia . vialidades importantes . muy comunicada . 15 min sta. fe . a 2 min. de luis cabrera y super vía . 5 min. artz, periférico . walmart express . plaza ofis tri max . centro comercial san jerónimo . $ 7’980,000 aproveche, la casa de sus sueños, ¡¡¡los niños no pelearán por el baño!!! nueva, recién remodelada su oportunidad para hacerse de un patrimonio no la deje escapar.  id: eb-rm8266","RECÁMARAS3 , BAÑOS3 , ESTACIONAMIENTOS2 , Edad del inmuebleNuevo , ÁREA TERRENO229 m2, ÁREA CONSTRUIDA270 m2, Jardín1 , NA, NA","Terraza, Cuarto de servicio, NA, NA, NA","NA, NA","Inmobiliaria de VERONICA RUANOVA","INRUABE asesores ","MXN","3","3","2",NA,NA,"229","270",NA,"1",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
